Text Range,Leaf,Page,Bar Hama 2,Gap,Notes,URL-suffix
2 Kgs 10:5–10:23,97r,193,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_097r,,,097r
2 Kgs 10:23–11:8,97v,194,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_097v,,,097v
2 Kgs 11:8–12:8,98r,195,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_098r,,,098r
2 Kgs 12:8–13:6,98v,196,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_098v,,,098v
2 Kgs 13:6–14:1,99r,197,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_099r,,,099r
2 Kgs 14:1–14:21,99v,198,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_099v,After,,099v
2 Kgs 18:13–18:32,100r,199,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_100r,Before,,100r
2 Kgs 18:32–19:19,100v,200,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_100v,,,100v
2 Kgs 19:19–20:6,101r,201,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_101r,,,101r
2 Kgs 20:6–21:7,101v,202,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_101v,,,101v
2 Kgs 21:7–22:4,102r,203,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_102r,,,102r
2 Kgs 22:4–23:3,102v,204,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_102v,,,102v
2 Kgs 23:3–23:20,103r,205,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_103r,,,103r
2 Kgs 23:20–24:3,103v,206,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_103v,,,103v
2 Kgs 24:3–25:6,104r,207,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_104r,,,104r
2 Kgs 25:7–25:27,104v,208,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_104v,,,104v
2 Kgs 25:27–Isa 1:24,105r,209,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_105r,,,105r
Isa 1:25–3:4,105v,210,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_105v,,,105v
Isa 3:4–5:2,106r,211,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_106r,,,106r
Isa 5:2–5:29,106v,212,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_106v,,,106v
Isa 5:29–7:12,107r,213,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_107r,,,107r
Isa 7:12–8:14,107v,214,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_107v,,,107v
Isa 8:14–9:17,108r,215,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_108r,,,108r
Isa 9:17–10:24,108v,216,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_108v,,,108v
